做這條椅仔愛用真濟工夫。,Tsò tsit liâu í-á ài īng tsin tsē kang-hu. ,做
咱攏是熟似人，毋免遐工夫。,"Lán lóng sī si̍k-sāi-lâng, m̄-bián hiah kang-hu. ",似
這个工事工夫真大。,Tsit ê kang-sū kang-hu tsin tuā. ,事
你做代誌毋通三心兩意。,Lí tsò tāi-tsì m̄-thang sam-sim-lióng-ì. ,做代
你閣會曉西瓜倚大爿，知影欲綴阮行。,"Lí koh ē-hiáu si-kue uá tuā-pîng, tsai-iánn beh tuè guán kiânn. ",綴
你的年歲比我較濟，大爿讓予你坐。,"Lí ê nî-huè pí guá khah tsē, tuā-pîng niū hōo lí tsē. ",歲坐
冊愛用巾仔包咧。,Tsheh ài īng kin-á pau--leh. ,巾
啥人叫你大主大意做這件代誌？,Siánn-lâng kiò lí tuā-tsú-tuā-ì tsò tsit kiānn tāi-tsì? ,做代
這毋是啥物大代誌。,Tse m̄ sī siánn-mih tuā tāi-tsì. ,代
上北的火車,tsiūnn-pak ê hué-tshia,火車
大四界滿滿是。,Tuā-sì-kè muá-muá-sī. ,四界
做生理愛敢下本，才會成功。,"Tsò-sing-lí ài kánn hē-pún, tsiah ē sîng-kong. ",做
大本山芹菜,tuā-pún suann-khîn-tshài,芹
你這个臭小囝，哪會無代無誌共人拍？,"Lí tsit ê tshàu sió-kiánn, ná ē bô-tāi-bô-tsì kā lâng phah? ",代
這件代誌你上好是莫管。,Tsit kiānn tāi-tsì lí siōng-hó sī mài kuán. ,代
生理人初二、十六攏有拜土地公。,"Sing-lí-lâng tshe-jī, tsa̍p-la̍k lóng ū pài Thóo-tī-kong. ",初地
下早仔去較袂熱。,E-tsái-á khì khah bē jua̍h. ,去
伊是一个大耳豬。,I sī tsi̍t ê tuā-hīnn ti. ,豬
母舅坐大位。,Bú-kū tsē tuā-uī. ,坐
好田地不如好子弟。,Hó tshân-tē put-jû hó tsú-tē. ,地如子
恁小弟今年幾歲矣？,Lín sió-tī kin-nî kuí huè--ah? ,歲
小弟真歡喜來到貴寶地。,Sió-tī tsin huann-hí lâi-kàu kuì pó-tē. ,地
我欲去廟埕看子弟戲。,Guá beh khì biō-tiânn khuànn tsú-tē-hì. ,去子
伊有一个大肚胿，做啥物代誌攏真無方便。,"I ū tsi̍t ê tuā-tōo-kui, tsò siánn-mih tāi-tsì lóng tsin bô hong-piān. ",做代
三角銀,sann-kak gîn,銀
陳的！真久見！近來攏咧無閒啥？,Tân--ê! Tsin kiú-kiàn! Kīn-lâi lóng teh bô-îng siánn? ,近
三角窗的厝來做店面上好。,Sann-kak-thang ê tshù lâi tsò tiàm-bīn siōng hó. ,做
伊去予警察召去問口供。,I khì hōo kíng-tshat tiàu khì mn̄g kháu-king. ,去去
大事化小事，小事化無事。,"Tuā-sū huà sió-sū, sió-sū huà bô-sū. ",事事事事
這擺的工事真順利。,Tsit pái ê kang-sū tsin sūn-lī. ,事
伊是阮小妹。,I sī guán sió-muē. ,妹
小妹感謝逐家的疼惜。,Sió-muē kám-siā ta̍k-ke ê thiànn-sioh. ,妹
這位小妹真古錐。,Tsit uī sió-muē tsin kóo-tsui. ,妹
咱做大官的，目睭愛瞌一蕊，毋通傷頂真。,"Lán tsò ta-kuann--ê, ba̍k-tsiu ài kheh tsi̍t luí, m̄-thang siunn tíng-tsin. ",做
𪜶親情內底有一个大官虎，講話攏會硩死人。,"In tshin-tsiânn lāi-té ū tsi̍t ê tuā-kuann-hóo, kóng-uē lóng ē teh-sí-lâng. ",底死
伊下性命落去拍拚，向望有一工會出頭天。,"I hē-sènn-miā lo̍h khì phah-piànn, ǹg-bāng ū tsi̍t kang ē tshut-thâu-thinn. ",去
我下昏欲去看電影。,Guá e-hng beh khì khuànn tiān-iánn. ,去
伊的人較土直，毋才較會去得失人。,"I ê lâng khah thóo-ti̍t, m̄-tsiah khah ē khì tik-sit--lâng. ",去
我看𪜶兩个，會做伙嘛袂久長。,"Guá khuànn in nn̄g ê, ē tsò-hué mā bē kú-tn̂g. ",做伙
恁千金生做真媠。,Lín tshian-kim senn-tsò tsin suí. ,做
你若是有啥物三長兩短，欲叫我按怎活落去？,"Lí nā-sī ū siánn-mih sann-tn̂g-nn̄g-té, beh kiò guá án-tsuánn ua̍h--lo̍h-khì? ",短去
久長病，無孝子。,"Kú-tn̂g-pēnn, bô hàu-tsú. ",子
三思而後行。,Sàm-su jî hiō hîng. ,思
伊這過出國，著愛大後年才會當倒轉來。,"I tsit-kuè tshut-kok, tio̍h ài tuā-āu--nî tsiah ē-tàng tò-tńg--lâi. ",過
伊是老師，也是學生。,"I sī lāu-su, iā sī ha̍k-sing. ",師
伊是大某生的，毋是細姨仔囝。,"I sī tuā-bóo senn--ê, m̄ sī sè-î-á kiánn. ",細
年節時仔愛攢三牲來拜拜。,Nî-tseh-sî-á ài tshuân sam-sing lâi pài-pài. ,節
你生來就是乞食命，免想欲過啥物好日子。,"Lí senn--lâi tō sī khit-tsia̍h-miā, bián siūnn-beh kuè siánn-mih hó ji̍t-tsí. ",過子
相爭做乞食頭。,Sio-tsenn tsò khit-tsia̍h-thâu. ,做
伊佇彼間銀行有一个口座。,I tī hit king gîn-hâng ū tsi̍t ê kháu-tsō. ,佇銀
我真討厭別人干涉我的代誌。,Guá tsin thó-ià pa̍t-lâng kan-sia̍p guá ê tāi-tsì. ,代
這罐芳水較低級，毋是高級貨。,"Tsit kuàn phang-tsuí khah kē-kip, m̄ sī ko-kip huè. ",貨
莫戴小鬼仔殼佇遐共人嚇驚。,Mài tì siáu-kuí-á-khak tī hia kā lâng heh-kiann. ,戴佇
薪水予伊三除四扣就賰無偌濟矣。,Sin-suí hōo i sann-tû-sì-khàu tō tshun bô guā-tsē--ah. ,除四
金水嬸仔三个後生攏誠有才情，毋是博士，就是董事長。,"Kim-tsuí tsím--á sann ê hāu-senn lóng tsiânn ū tsâi-tsîng, m̄-sī phok-sū, tō sī táng-sū tiúnn. ",士事
下晝阮欲來去圖書館讀冊。,Ē-tàu guán beh lâi-khì tôo-su-kuán tha̍k-tsheh. ,去書
下晡我欲揣阿美仔去𨑨迌。,Ē-poo guá beh tshuē A-bí--á khì tshit-thô. ,去
師傅的手藝誠讚，逐領衫的大細攏仝款。,"Sai-hū ê tshiú-gē tsiânn tsán, ta̍k niá sann ê tuā-sè lóng kāng-khuán. ",師藝細
做序大的人對待囡仔毋通大細心。,Tsò sī-tuā ê lâng tuì-thāi gín-á m̄-thang tuā-sè-sim. ,做序細
你看人大細目，早慢會出代誌。,"Lí khuànn lâng tuā-sè-ba̍k, tsá-bān ē tshut-tāi-tsì. ",細代
遮的物件緊送去工場予𪜶。,Tsia--ê mi̍h-kiānn kín sàng khì kang-tiûnn hōo--in. ,去
禮拜欲大摒掃，毋通走出去耍。,"Lé-pài beh tuā-piànn-sàu, m̄-thang tsáu tshut-khì sńg. ",去
氣象報告講今仔日有大湧，你毋通去釣魚。,"Khì-siōng pò-kò kóng kin-á-ji̍t ū tuā-íng, lí m̄-thang khì tiò-hî. ",去魚
一屑仔代誌都辦袂好勢，真下痟！,"Tsi̍t-sut-á tāi-tsì to pān bē hó-sè, tsin hā-siau! ",代
大量生產才算會和。,Tāi-liōng sing-sán tsiah sǹg ē hô. ,和
阿公的人條直，做代誌攏用土想的。,"A-kong ê lâng tiâu-ti̍t, tsò tāi-tsì lóng iōng thóo-siūnn--ê. ",做代
這款代誌曷使閣問，土想嘛知。,"Tsit khuán tāi-tsì a̍h-sái koh mn̄g, thóo-siūnn mā tsai. ",代使
伊跋落去山溝，跤骨摔斷去矣。,"I pua̍h lo̍h-khì suann-kau, kha-kut siak tn̄g--khì--ah. ",去去
我佇下跤等伊落來。,Guá tī ē-kha tán i lo̍h--lâi. ,佇
較早有真濟山賊佇遮出入。,Khah-tsá ū tsin tsē suann-tsha̍t tī tsia tshut-ji̍p. ,佇
𪜶兜蹛佇山跤。,In tau tuà tī suann-kha. ,佇
你真正有夠低路，連這款工課都袂曉做。,"Lí tsin-tsiànn ū-kàu kē-lōo, liân tsit khuán khang-khuè to bē-hiáu tsò. ",課做
按這條大路直直去就到阮兜矣。,Àn tsit tiâu tuā-lōo ti̍t-ti̍t khì tō kàu guán tau--ah. ,去
時機遐䆀，三頓若顧會齊勻就誠佳哉矣。,"Sî-ki hiah bái, sann tǹg nā kòo ē tsiâu-ûn tō tsiânn ka-tsài--ah. ",齊
阮阿公七十歲大壽的時陣，阮兜有辦桌請人。,"Guán a-kong tshit-tsa̍p huè tuā-siū ê sî-tsūn, guán tau ū pān-toh tshiánn--lâng. ",歲
你今仔五十歲爾爾，哪會未曾未就共大壽買好矣。,"Lí tann-á gōo-tsa̍p huè niā-niā, ná ē buē-tsîng-buē tō kā tuā-siū bé hó--ah. ",歲未未
伊生做足大漢。,I senn-tsò tsiok tuā-hàn. ,做
一箍是大箍抑細箍？,Tsi̍t khoo sī tuā-khoo ia̍h sè-khoo? ,細
這過買的三層肉真好食。,Tsit-kuè bé--ê sam-tsân-bah tsin hó-tsia̍h. ,過
囡仔當佇咧拍干樂。,Gín-á tng tī-teh phah kan-lo̍k. ,佇
老師當佇課堂上課。,Lāu-su tng tī khò-tn̂g siōng-khò. ,師佇課課
學生囡仔逐工攏愛去學校上課。,Ha̍k-sing gín-á ta̍k kang lóng ài khì ha̍k-hāu siōng-khò. ,去課
我的工課足濟的。,Guá ê khang-khuè tsiok tsē--ê. ,課
阮遮干焦做大賣，無咧賣零星的。,"Guán tsia kan-na tsò tuā-bē, bô teh bē lân-san--ê. ",做
我感覺山豬仔肉較好食。,Guá kám-kak suann-ti-á bah khah hó-tsia̍h. ,豬
工頭工尾攏愛顧好。,Kang-thâu-kang-bué lóng ài kòo hó. ,尾
見若叫伊起來講話，伊就講甲大頷胿去。,"Kiàn-nā kiò i khí-lâi kóng-uē, i tō kóng kah tuā-ām-kui--khì. ",去
上濟錢了去爾爾。,Siōng-tsē tsînn liáu--khì niā-niā. ,去
伊走去共𪜶頭家大聲。,I tsáu-khì kā in thâu-ke tuā-siann. ,去
𪜶攏是土雞仔。,In lóng sī thóo-ke-á. ,雞
男天平，女下顎。,"Lâm thian-pîng, lí ē-kok. ",女
無聊的時陣，就來變工藝。,"Bô-liâu ê sî-tsūn, tō lâi pìnn kang-gē. ",藝
伊去媽祖宮下願，講𪜶老母的病若會好，伊就欲倩一班歌仔戲來謝神。,"I khì Má-tsóo king hē-guān, kóng in lāu-bú ê pēnn nā ē hó, i tō beh tshiànn tsi̍t pan kua-á-hì lâi siā-sîn. ",去
人之初,jîn tsi tshoo,初
我予你一个面子，這件代誌就準拄煞。,"Guá hōo lí tsi̍t ê bīn-tsú, tsit kiānn tāi-tsì tō tsún tú-suah. ",子代
我袂記得寫功課，毋才會予老師罵。,"Guá bē-kì-tit siá kong-khò, m̄-tsiah ē hōo lāu-su mē. ",課師
予伊去啦！莫插伊。,Hōo i khì--lah! Mài tshap--i. ,去
五四三,gōo-sì-sann,四
伊跋一下規个人仆落去。,I pua̍h tsi̍t-ē kui-ê lâng phak--lo̍h-khì. ,去
是啥人允你這件代誌的？,Sī siánn-lâng ín lí tsit kiānn tāi-tsì--ê? ,允代
一個月內,tsi̍t kò gue̍h lāi,月
孔子公,Khóng-tsú-kong,子
頭毛縛了傷冗，強欲散去。,"Thâu-mn̂g pa̍k liáu siunn līng, kiōng-beh suànn--khì. ",去
最近手頭較冗，想欲加買幾領仔新衫。,"Tsuè-kīn tshiú-thâu khah līng, siūnn-beh ke bé kuí-niá-á sin sann. ",近
索仔冗去矣，愛重縛。,"Soh-á līng--khì--ah, ài tîng pa̍k. ",去
𪜶爸仔囝佇車頭分開。,In pē-á-kiánn tī tshia-thâu hun-khui. ,佇車
這箱柑仔予恁去分。,Tsit siunn kam-á hōo lín khì pun.,去
彼个乞食逐工攏去車頭共人分。,Hit ê khit-tsia̍h ta̍k-kang lóng khì tshia-thâu kā lâng pun.,去車
家己若袂生，規氣去分別人的囡仔來飼。,"Ka-kī nā bē senn, kui-khì khì pun pa̍t-lâng ê gín-á lâi tshī. ",去飼
分人做新婦仔。,Pun lâng tsò sin-pū-á. ,做
伊共西瓜切甲大細爿。,I kā si-kue tshiat kah tuā-sè pîng. ,細
彼隻露螺的頭勼入去殼內底矣。,Hit tsiah lōo-lê ê thâu kiu ji̍p-khì khak lāi-té--ah. ,螺去底
你去共交落佇眠床跤的物件勾出來。,Lí khì kā ka-la̍uh tī bîn-tshn̂g-kha ê mi̍h-kiānn kau--tshut-lâi. ,去佇
你袂曉寫的題目就先勾起來。,Lí bē-hiáu siá ê tê-bo̍k tō sing kau--khí-lâi. ,題
你若欲買厝，就去揣伊做中人。,"Lí nā beh bé tshù, tō khì tshuē i tsò tiong-lâng. ",去做
毋通交不三不四的朋友。,M̄-thang kau put-sam-put-sù ê pîng-iú. ,四
五仁月餅,ngóo-jîn gue̍h-piánn,月
用勻勻仔火落去煮。,Iōng ûn-ûn-á-hué lo̍h-khì tsú. ,火去煮
未曾做就勼手，實在無路用。,"Buē-tsîng tsò tō kiu-tshiú, si̍t-tsāi bô-lōo-īng. ",未做
這領衫洗了勼水去矣。,Tsit niá sann sé-liáu kiu-tsuí--khì--ah. ,洗去
紅嬰仔無六月天。,Âng-enn-á bô la̍k-gue̍h-thinn. ,月
這个六月冬誠飽穗。,Tsit ê la̍k-gue̍h-tang tsiânn pá-suī. ,月
作穡人佇六月冬時攏會較無閒。,Tsoh-sit-lâng tī la̍k-gue̍h-tang sî lóng ē khah bô-îng. ,佇月
我今仔才看著伊對門口行出去。,Guá tann-á tsiah khuànn-tio̍h i tuì mn̂g-kháu kiânn--tshut-khì. ,去
中古車,tiong-kóo tshia,車
中古時代,tiong-kóo sî-tāi,代
伊講欲中立，兩爿攏無愛參加。,"I kóng beh tiong-li̍p, nn̄g pîng lóng bô-ài tsham-ka. ",參
代誌會成袂成，介在你欲做毋做。,"Tāi-tsì ē sîng bē sîng, kài-tsāi lí beh tsò m̄ tsò. ",代做做
伊今年十歲。,I kin-nî tsa̍p huè. ,歲
這種代誌你毋著冗早講，這馬欲反悔已經袂赴矣。,"Tsit tsióng tāi-tsì lí m̄-tio̍h liōng-tsá kóng, tsit-má beh huán-hué í-king bē-hù--ah. ",代
謼！伊哪會遮不死鬼！,Hooh! I ná ē tsiah put-sú-kuí! ,死
我對汽車真內行。,Guá tuì khì-tshia tsin lāi-hâng. ,車
若講著車，伊是內行的。,"Nā kóng-tio̍h tshia, i sī lāi-hâng--ê. ",車
雖然今仔日是風颱天，不而過你嘛是愛去做工課。,"Sui-jiân kin-á-ji̍t sī hong-thai-thinn, put-jî-kò lí mā sī ài khì tsò khang-khuè. ",過去做課
伊不但寄付錢，閣去做義工。,"I put-tān kià-hù tsînn, koh khì tsò gī-kang. ",去做
這對雙生仔到底啥人是啥人，我實在無法度分別。,"Tsit tuì siang-senn-á tàu-té siánn-lâng sī siánn-lâng, guá si̍t-tsāi bô-huat-tōo hun-pia̍t. ",底
我實在無法度分身來處理別人的代誌。,Guá si̍t-tsāi bô-huat-tōo hun-sin lâi tshú-lí pa̍t-lâng ê tāi-tsì. ,處代
公事著愛照起工做。,Kong-sū tio̍h ài tsiàu-khí-kang tsò. ,事做
這跤皮箱內底貯啥物？,Tsit kha phuê-siunn lāi-té té siánn-mih? ,皮底貯
伊佇公所食頭路。,I tī kong-sóo tsia̍h-thâu-lōo. ,佇
伊做𤆬頭的，有誠濟人不服。,"I tsò tshuā-thâu--ê, ū tsiânn tsē lâng put-ho̍k. ",做
遮的工課攏交予你來分派。,Tsia-ê khang-khuè lóng kau hōo lí lâi hun-phài. ,課
公家事,kong-ka sū,事
我來分配恁逐家的工課。,Guá lâi hun-phuè lín ta̍k-ke ê khang-khuè. ,配課
暗時坐佇窗仔門邊，我攏有看著五彩的燈火閃閃爍爍。,"Àm-sî tsē tī thang-á-mn̂g pinn, guá lóng ū khuànn-tio̍h ngóo-tshái ê ting-hué siám-siám-sih-sih. ",坐佇火
少年人毋通食「安」，若無，代誌會不得了。,"Siàu-liân-lâng m̄-thang tsia̍h ""an"", nā-bô, tāi-tsì ē put-tik-liáu. ",代
伊英語講甲削削叫，真正不得了。,"I Ing-gí kóng kah siah-siah-kiò, tsin-tsiànn put-tik-liáu. ",語
代誌都已經做矣，莫閣講你是不得已的。,"Tāi-tsì to í-king tsò--ah, mài koh kóng lí sī put-tik-í--ê. ",代做
中晝飯食飽就好歇睏，毋通閣咧外口四界趖。,"Tiong-tàu-pn̄g tsia̍h-pá tō hó hioh-khùn, m̄-thang koh teh guā-kháu sì-kè-sô. ",四界
我來介紹恁兩个熟似。,Guá lâi kài-siāu lín nn̄g ê si̍k-sāi. ,似
代誌已經做一半矣，你袂當佇中途反悔毋做。,"Tāi-tsì í-king tsò tsi̍t-puànn--ah, lí bē-tàng tī tiong-tôo huán-hué m̄ tsò. ",代做佇做
你按呢過日傷冗剩矣。,Lí án-ne kuè-ji̍t siunn liōng-siōng--ah. ,過
這塊玉仔干焦是中等的貨色，袂講蓋好。,"Tsit tè gi̍k-á kan-na sī tiong-tíng ê huè-sik, bē kóng kài hó. ",貨
伊決定公開所有的代誌。,I kuat-tīng kong-khai sóo-ū ê tāi-tsì. ,代
伊公開展覽伊的私人花園。,I kong-khai tián-lám i ê su-jîn hue-hn̂g. ,私
年節時仔，庄頭做戲的錢攏是規庄頭公開的。,"Nî-tseh-sî-á, tsng-thâu tsò-hì ê tsînn lóng sī kui tsng-thâu kong-khui--ê. ",節做
𪜶內媽佇咧共人做衫。,In lāi-má tī teh kā lâng tsò sann. ,佇做
一人一家事，公媽隨人祀。,"Tsi̍t lâng tsi̍t ke tāi, kong-má suî lâng tshāi. ",事祀
我這領衫的內裡破去矣。,Guá tsit niá sann ê lāi-lí phuà--khì--ah. ,去
代誌做猶未一半，袂當勼跤。,"Tāi-tsì tsò iáu-buē tsi̍t-puànn, bē-tàng kiu-kha. ",代做未
開武林大會的時，五路英雄攏會齊到。,"Khui bú-lîm tāi-huē ê sî, ngóo-lōo ing-hiông lóng ē tsiâu kàu. ",齊
里長伯仔做人真公道。,Lí-tiúnn peh--á tsò-lâng tsin kong-tō. ,做
你有啥物不滿，做你講出來。,"Lí ū siánn-mih put-buán, tsò lí kóng--tshut-lâi. ",做
伊不管時攏佇厝裡。,I put-kuán-sî lóng tī tshù--lí. ,佇
你著細膩，毋通公親變事主。,"Lí tio̍h sè-jī, m̄-thang kong-tshin piàn sū-tsú. ",細事
這頓逐家做伙分攤。,Tsit tǹg ta̍k-ke tsò-hué hun-thuann. ,做伙
